日期,排名,应用ID,应用名称,开发商,相比昨日,分类,公司名称,昨日下载量
2024/3/13,1,1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 上升1,娱乐,北京字节跳动科技有限公司,
2024/3/13,2,989673964,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降1,动作,-,
2024/3/13,3,1467190251,原神,miHoYo Games,相比昨日总榜 - 上升36,冒险,上海米哈游网络科技股份有限公司,
2024/3/13,4,1321803705,和平精英,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降1,动作,-,
2024/3/13,5,458318329,腾讯视频,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降1,娱乐,深圳市腾讯计算机系统有限公司,
2024/3/13,6,414603431,QQ音乐,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降1,娱乐,深圳市腾讯计算机系统有限公司,
2024/3/13,7,393765873,爱奇艺,QIYI,相比昨日总榜 - 下降1,娱乐,北京爱奇艺科技有限公司,
2024/3/13,8,887314963,BOSS直聘,北京华品博睿网络技术有限公司,相比昨日总榜 - 上升1,商务,北京华品博睿网络技术有限公司,
2024/3/13,9,590338362,网易云音乐,杭州网易云音乐科技有限公司,相比昨日总榜 - 上升1,音乐,广州网易计算机系统有限公司,
2024/3/13,10,1455054000,英雄联盟手游,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降3,动作,-,
2024/3/13,11,940547441,梦幻西游,网易移动游戏,相比昨日总榜 - 上升1,动作,杭州网易雷火科技有限公司,
2024/3/13,12,472208016,酷狗音乐,"KuGou Technology CO. , LTD",相比昨日总榜 - 上升1,音乐,广州酷狗计算机科技有限公司,
2024/3/13,13,1525863146,捕鱼大作战,Tuyoo Online HK Limited,相比昨日总榜 - 上升1,模拟,在线途游(北京）科技有限公司,
2024/3/13,14,1478101301,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降3,卡牌,-,
2024/3/13,15,336141475,优酷视频,Youku.com Inc.,相比昨日总榜 - 上升1,娱乐,优酷网络技术（北京）有限公司,
2024/3/13,16,1618911882,恋与深空,Paper Games,相比昨日总榜 - 下降8,模拟,芜湖叠纸网络科技有限公司,
2024/3/13,17,1541570980,逆水寒,网易移动游戏,相比昨日总榜 - 下降2,角色扮演,杭州网易雷火科技有限公司,
2024/3/13,18,440948110,快手,"Beijing Kwai Technology Co., Ltd.",相比昨日总榜 - 无变化,摄影与录像,北京快手科技有限公司,
2024/3/13,19,1042545880,穿越火线,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降2,策略,-,
2024/3/13,20,547166701,百度网盘,"Beijing Duyou Science and Technology Co.,Ltd.",相比昨日总榜 - 下降1,效率,-,
