日期,排名,应用ID,应用名称,开发商,相比昨日,分类,公司名称,昨日下载量
2024/4/8,1,989673964,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/4/8,2,1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 无变化,娱乐,北京字节跳动科技有限公司,-
2024/4/8,3,458318329,腾讯视频,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 无变化,娱乐,深圳市腾讯计算机系统有限公司,-
2024/4/8,4,1321803705,和平精英,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/4/8,5,414603431,QQ音乐 ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 上升1,音乐,深圳市腾讯计算机系统有限公司,-
2024/4/8,6,393765873,爱奇艺,QIYI,相比昨日总榜 - 下降1,娱乐,北京爱奇艺科技有限公司,-
2024/4/8,7,940547441,梦幻西游,网易移动游戏,相比昨日总榜 - 上升3,动作,杭州网易雷火科技有限公司,-
2024/4/8,8,1478101301,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降1,卡牌,-,-
2024/4/8,9,887314963,BOSS直聘,北京华品博睿网络技术有限公司,相比昨日总榜 - 无变化,商务,北京华品博睿网络技术有限公司,-
2024/4/8,10,1523037824,崩坏,miHoYo Games,相比昨日总榜 - 下降2,角色扮演,上海米哈游网络科技股份有限公司,-
2024/4/8,11,590338362,网易云音乐,杭州网易云音乐科技有限公司,相比昨日总榜 - 无变化,音乐,广州网易计算机系统有限公司,-
2024/4/8,12,472208016,酷狗音乐,"KuGou Technology CO. , LTD",相比昨日总榜 - 上升1,音乐,广州酷狗计算机科技有限公司,-
2024/4/8,13,336141475,优酷视频,Youku.com Inc.,相比昨日总榜 - 上升1,娱乐,优酷网络技术（北京）有限公司,-
2024/4/8,14,1467190251,原神,miHoYo Games,相比昨日总榜 - 下降2,冒险,上海米哈游网络科技股份有限公司,-
2024/4/8,15,1474572440,三国志·战略版,Lingxi Games Inc.,相比昨日总榜 - 无变化,模拟,广州灵犀互动娱乐有限公司,-
2024/4/8,16,440948110,快手,"Beijing Kwai Technology Co., Ltd.",相比昨日总榜 - 上升2,摄影与录像,北京快手科技有限公司,-
2024/4/8,17,1525863146,捕鱼大作战,Tuyoo Online HK Limited,相比昨日总榜 - 上升3,模拟,在线途游(北京）科技有限公司,-
2024/4/8,18,1042545880,穿越火线,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升1,策略,-,-
2024/4/8,19,547166701,百度网盘,"Beijing Duyou Science and Technology Co.,Ltd.",相比昨日总榜 - 上升5,效率,-,-
2024/4/8,20,1458072671,剪映 ,深圳市脸萌科技有限公司,相比昨日总榜 - 上升2,摄影与录像,深圳市脸萌科技有限公司,-
2024/4/8,21,1541570980,逆水寒,网易移动游戏,相比昨日总榜 - 无变化,角色扮演,杭州网易雷火科技有限公司,-
2024/4/8,22,736536022,哔哩哔哩,bilibili,相比昨日总榜 - 上升1,娱乐,上海幻电信息科技有限公司,-
2024/4/8,23,1618911882,恋与深空,Paper Games,相比昨日总榜 - 下降7,模拟,芜湖叠纸网络科技有限公司,-
2024/4/8,24,1455054000,英雄联盟手游,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升2,动作,-,-
2024/4/8,25,1330863325,第五人格,网易移动游戏,相比昨日总榜 - 下降8,冒险,杭州网易雷火科技有限公司,-
2024/4/8,26,955396648,火影忍者,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降1,动作,-,-
2024/4/8,27,791532221,开心消消乐,乐元素,相比昨日总榜 - 上升2,休闲,乐元素科技（北京）股份有限公司,-
2024/4/8,28,629774477,芒果TV,快乐阳光,相比昨日总榜 - 上升2,娱乐,湖南快乐阳光互动娱乐传媒有限公司,-
2024/4/8,29,414478124,微信,WeChat,相比昨日总榜 - 上升2,社交,深圳市腾讯计算机系统有限公司,-
2024/4/8,30,1544884479,蛋仔派对,网易移动游戏,相比昨日总榜 - 下降3,家庭聚会,杭州网易雷火科技有限公司,-
2024/4/8,31,472885640,JJ斗地主,JJWorld(Beijing) Network Technology Company Limited,相比昨日总榜 - 上升2,桌面,竞技世界（北京）网络技术有限公司,-
2024/4/8,32,1160172628,夸克,广州市动悦信息技术有限公司,相比昨日总榜 - 上升2,工具,-,-
2024/4/8,33,909211092,率土之滨,网易移动游戏,相比昨日总榜 - 上升6,策略,杭州网易雷火科技有限公司,-
2024/4/8,34,1561105019,捕鱼大咖,游酷盛世科技(北京)有限公司,相比昨日总榜 - 上升1,娱乐场,-,-
2024/4/8,35,1595603316,部落冲突 ,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降7,动作,-,-
2024/4/8,36,1235504705,QQ飞车,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降4,动作,-,-
2024/4/8,37,432274380,知乎,"Beijing Zhizhetianxia Technology Co., Ltd.",相比昨日总榜 - 上升1,社交,北京智者天下科技有限公司,-
2024/4/8,38,6474293468,向僵尸开炮,"Hainan Shengchang Network Technology Co., Ltd.",相比昨日总榜 - 上升2,策略,-,-
2024/4/8,39,1570790378,途游休闲捕鱼,TYSG Games,相比昨日总榜 - 下降2,娱乐场,-,-
2024/4/8,40,350962117,微博,SINA Corporation,相比昨日总榜 - 上升21,社交,北京微梦创科网络技术有限公司,-
2024/4/8,41,407413403,三国杀,杭州游卡网络技术有限公司,相比昨日总榜 - 下降5,策略,杭州游卡网络技术有限公司,-
2024/4/8,42,586871187,UC浏览器,UCWeb Mobile Private Limited,相比昨日总榜 - 下降1,工具,广州市动景计算机科技有限公司,-
2024/4/8,43,876336838,喜马拉雅「听书社区」电台有声小说相声评书,"Xi Da (Shanghai) Network Technology Co., Ltd.",相比昨日总榜 - 下降1,图书,上海喜马拉雅科技有限公司,-
2024/4/8,44,891616303,指尖四川麻将,"Shenzhen Zen-Game Technology CO.,LTD",相比昨日总榜 - 上升3,桌面,深圳市禅游科技股份有限公司,-
2024/4/8,45,444934666,QQ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 无变化,社交,深圳市腾讯计算机系统有限公司,-
2024/4/8,46,446324234,欢乐斗地主,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,桌面,-,-
2024/4/8,47,6468898329,仙境传说,"Beijing Ruyi JIngxiu Network Technology Co., Ltd.",相比昨日总榜 - 上升5,角色扮演,-,-
2024/4/8,48,1477031443,抖音极速版,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 上升5,娱乐,北京字节跳动科技有限公司,-
2024/4/8,49,1505445106,暗区突围,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降6,动作,-,-
2024/4/8,50,1033387365,倩女幽魂,网易移动游戏,相比昨日总榜 - 上升19,角色扮演,杭州网易雷火科技有限公司,-
2024/4/8,51,1032287195,Soul,Shanghai Soul Gate Technology Limited Corporation,相比昨日总榜 - 下降1,社交,上海任意门科技有限公司,-
2024/4/8,52,1282917929,幻唐志,"Guangzhou Duoyi Network Technology Co.,Ltd.",相比昨日总榜 - 上升10,策略,广州多益网络股份有限公司,-
2024/4/8,53,1579028199,咸鱼之王,Hortor Games,相比昨日总榜 - 上升1,卡牌,北京豪腾嘉科科技有限公司,-
2024/4/8,54,741292507,小红书 ,Xingin,相比昨日总榜 - 上升4,社交,行吟信息科技（上海）有限公司,-
2024/4/8,55,534174796,起点读书,起点中文网,相比昨日总榜 - 上升5,图书,上海玄霆娱乐信息科技有限公司,-
2024/4/8,56,1552333447,以闪亮之名,祖龙游戏,相比昨日总榜 - 上升8,角色扮演,祖龙（天津）科技有限公司,-
2024/4/8,57,416048305,美图秀秀,"Xiamen Meitu Technology Co., Ltd.",相比昨日总榜 - 下降2,摄影与录像,厦门美图网科技有限公司,-
2024/4/8,58,1305599559,FC足球世界,Tencent Mobile Games,相比昨日总榜 - 下降10,体育,深圳市腾讯计算机系统有限公司,-
2024/4/8,59,1031897589,问道,雷霆游戏,相比昨日总榜 - 上升4,角色扮演,深圳雷霆信息技术有限公司,-
2024/4/8,60,6468993345,最强祖师,"Khorgos Xingjia Network Technology Co., Ltd",相比昨日总榜 - 下降1,模拟,-,-
2024/4/8,61,1219233424,QQ炫舞,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降17,音乐,-,-
2024/4/8,62,1500526240,醒图 ,深圳市脸萌科技有限公司,相比昨日总榜 - 下降5,摄影与录像,深圳市脸萌科技有限公司,-
2024/4/8,63,895670960,阴阳师,网易移动游戏,相比昨日总榜 - 下降14,策略,杭州网易雷火科技有限公司,-
2024/4/8,64,599852710,WPS Office ,金山办公软件,相比昨日总榜 - 上升1,效率,北京金山办公软件有限公司,-
2024/4/8,65,1156439976,心悦俱乐部,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 上升26,娱乐,深圳市腾讯计算机系统有限公司,-
2024/4/8,66,6443461229,射雕,网易移动游戏,相比昨日总榜 - 下降15,冒险,杭州网易雷火科技有限公司,-
2024/4/8,67,1632344522,元梦之星,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降11,竞速,-,-
2024/4/8,68,1665337957,鱼乐达人,游酷盛世科技(北京)有限公司,相比昨日总榜 - 无变化,娱乐场,-,-
2024/4/8,69,1570403558,梦幻花园 ,iDreamSky,相比昨日总榜 - 上升7,模拟,深圳市创梦天地科技有限公司,-
2024/4/8,70,952059546,微信读书,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 上升8,图书,深圳市腾讯计算机系统有限公司,-
2024/4/8,71,1501314785,途游斗地主,Tuyoo Online HK Limited,相比昨日总榜 - 上升2,卡牌,在线途游(北京）科技有限公司,-
2024/4/8,72,910513149,全民K歌,"Tencent Technology (Shanghai) Co., Ltd",相比昨日总榜 - 无变化,娱乐,深圳市腾讯计算机系统有限公司,-
2024/4/8,73,6476085746,龙迹之城,"Hong Kong Metaparty Entertainment Co., Limited",相比昨日总榜 - 下降6,动作,-,-
2024/4/8,74,820847275,多乐够级,"Beijing Pengqu Technology Co.,Ltd.",相比昨日总榜 - 下降3,休闲,北京蓝色创想网络科技有限责任公司,-
2024/4/8,75,1347776121,实况足球 ,网易移动游戏,相比昨日总榜 - 上升10,体育,杭州网易雷火科技有限公司,-
2024/4/8,76,1015364140,大话西游,网易移动游戏,相比昨日总榜 - 下降10,角色扮演,杭州网易雷火科技有限公司,-
2024/4/8,77,6470348464,荒野迷城,湖南草花互动网络科技有限公司,相比昨日总榜 - 上升20,卡牌,湖南草花互动网络科技有限公司,-
2024/4/8,78,388627783,扫描全能王,"INTSIG Information Co., Ltd",相比昨日总榜 - 上升5,效率,上海合合信息科技发展有限公司,-
2024/4/8,79,952694580,Keep ,Keep,相比昨日总榜 - 上升1,健康健美,北京卡路里科技有限公司,-
2024/4/8,80,6444558869,原始征途,巨人网络科技有限公司,相比昨日总榜 - 上升19,策略,上海巨人网络科技有限公司,-
2024/4/8,81,1559181149,晶核,"Beijing Zhaoxiguangnian Information Technology Co., Ltd",相比昨日总榜 - 无变化,角色扮演,北京朝夕光年信息技术有限公司,-
2024/4/8,82,1126393139,狼人杀,"Langren World Network Co., Ltd",相比昨日总榜 - 上升2,社交,上海狼望网络科技有限公司,-
2024/4/8,83,6447610302,冒险岛,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降4,冒险,-,-
2024/4/8,84,1102305688,王者营地,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降2,工具,-,-
2024/4/8,85,983122251,魂斗罗,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降8,角色扮演,-,-
2024/4/8,86,963152777,帆书,"Shanghai Soybean Network Technology Co., Ltd.",相比昨日总榜 - 上升80,图书,上海黄豆网络科技有限公司,-
2024/4/8,87,689180123,腾讯欢乐麻将全集,Tencent Mobile Games,相比昨日总榜 - 上升22,桌面,深圳市腾讯计算机系统有限公司,-
2024/4/8,88,1468454200,番茄小说 ,"Beijing Zhending Technology Co., Ltd.",相比昨日总榜 - 下降2,图书,北京臻鼎科技有限公司,-
2024/4/8,89,1488410151,使命召唤手游,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降19,策略,-,-
2024/4/8,90,1344733855,光·遇,网易移动游戏,相比昨日总榜 - 下降16,家庭聚会,杭州网易雷火科技有限公司,-
2024/4/8,91,539988420,他趣,"Hubei Haibao Taqu Entertainment Technology Co., Ltd",相比昨日总榜 - 下降1,社交,厦门海豹他趣信息技术股份有限公司,-
2024/4/8,92,6467185383,斗破苍穹,阅娱,相比昨日总榜 - 下降17,角色扮演,-,-
2024/4/8,93,1501671346,一念逍遥·剑修,雷霆游戏,相比昨日总榜 - 下降5,角色扮演,深圳雷霆信息技术有限公司,-
2024/4/8,94,1404192329,完美世界,Tencent Mobile Games,相比昨日总榜 - 上升22,角色扮演,深圳市腾讯计算机系统有限公司,-
2024/4/8,95,1475216610,牵手,"Tianjin Laifu Culture Development Co., Ltd.",相比昨日总榜 - 下降1,社交,-,-
2024/4/8,96,1459358814,口袋奇兵,Topwar Studio,相比昨日总榜 - 上升14,角色扮演,北京江娱互动科技有限公司,-
2024/4/8,97,1472502819,快手极速版,华艺汇龙,相比昨日总榜 - 下降4,摄影与录像,北京华艺汇龙网络科技有限公司,-
