日期,排名,应用ID,应用名称,开发商,相比昨日,分类,公司名称,昨日下载量
2024/3/18,1,989673964,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升1,动作,-,-
2024/3/18,2,1321803705,和平精英,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降1,动作,-,-
2024/3/18,3,1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 无变化,娱乐,北京字节跳动科技有限公司,-
2024/3/18,4,458318329,腾讯视频,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 无变化,娱乐,深圳市腾讯计算机系统有限公司,-
2024/3/18,5,414603431,QQ音乐 ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 无变化,音乐,深圳市腾讯计算机系统有限公司,-
2024/3/18,6,393765873,爱奇艺,QIYI,相比昨日总榜 - 无变化,娱乐,北京爱奇艺科技有限公司,-
2024/3/18,7,887314963,BOSS直聘,北京华品博睿网络技术有限公司,相比昨日总榜 - 上升6,商务,北京华品博睿网络技术有限公司,-
2024/3/18,8,590338362,网易云音乐,杭州网易云音乐科技有限公司,相比昨日总榜 - 无变化,音乐,广州网易计算机系统有限公司,-
2024/3/18,9,336141475,优酷视频,Youku.com Inc.,相比昨日总榜 - 下降2,娱乐,优酷网络技术（北京）有限公司,-
2024/3/18,10,1541570980,逆水寒,网易移动游戏,相比昨日总榜 - 上升4,角色扮演,杭州网易雷火科技有限公司,-
2024/3/18,11,1478101301,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升4,卡牌,-,-
2024/3/18,12,472208016,酷狗音乐,"KuGou Technology CO. , LTD",相比昨日总榜 - 下降1,音乐,广州酷狗计算机科技有限公司,-
2024/3/18,13,1525863146,捕鱼大作战,Tuyoo Online HK Limited,相比昨日总榜 - 下降1,模拟,在线途游(北京）科技有限公司,-
2024/3/18,14,1474572440,三国志·战略版,Lingxi Games Inc.,相比昨日总榜 - 下降5,模拟,广州灵犀互动娱乐有限公司,-
